Name,Score
Save the Last Dance for Me,7.7
Legendary Witch,7.7
Time,7.7
Band of Sisters,7.7
The Best Ending,7.7
Delayed Justice,7.7
Winter Sonata,7.7
Melancholia,7.7
The Chaser,7.7
High School King of Savvy,7.7
High-end Crush,7.7
New Heart,7.7
My First First Love 2,7.7
Shark,7.7
Modern Farmer,7.7
Kim Soo Ro,7.7
Stars Falling From the Sky,7.7
My First First Love,7.7
Trolley,7.7
Thumping Spike,7.7
Whisper,7.7
Hotel King,7.7
Padam Padam,7.7
Adamas,7.7
Secret Boutique,7.7
Yoo Na's Street,7.7
Doctor Detective,7.7
Hanging On,7.7
Dear My Room,7.7
East of Eden,7.7
Bad Guys: City of Evil,7.7
The Tasty Florida,7.7
Find Me if You Can,7.7
Stock Struck,7.7
The World of My 17 Season 2,7.7
Scandal,7.7
Once Again,7.7
Shine or Go Crazy,7.7
Everything and Nothing,7.7
New Tales of Gisaeng,7.7
Clean with Passion for Now,7.7
Twenty Years Old,7.7
The Snow Queen,7.7
Evasive Inquiry Agency,7.7
Still Loving You,7.7
Backstreet Rookie,7.7
Long Time No See,7.7
Entertainer,7.7
Wanted,7.7
Brain,7.7
The Suspicious Housekeeper,7.7
Real:Time:Love Season 4,7.7
Gunman In Joseon,7.7
Autumn Tale,7.7
Hidden Identity,7.7
Secret Door,7.7
Best Mistake Season 2,7.7
Times,7.7
EXO Next Door,7.7
Triangle,7.7
Personal Taste,7.7
Baek Hee Has Returned,7.7
Dr. Frost,7.7
Dark Hole,7.7
The Love in Your Eyes,7.7
The Goddess of Revenge,7.7
No Time for Love,7.7
Monthly Magazine Home,7.7
Big Bet Season 2,7.7
Rose Mansion,7.7
To.Two,7.7
Flat,7.7
Do Do Sol Sol La La Sol,7.7
I Have Not Done My Best Yet,7.7
Pop Out Boy!,7.7
Bad Papa,7.7
3 Days,7.7
Ms. Temper & Nam Jung Gi,7.7
Mimicus,7.7
My Fellow Citizens!,7.7
Full House ,7.7
Mirror of the Witch,7.7
Green Mothers' Club,7.7
My Woofy Poofy Love,7.7
Crushes Reverse,7.7
Sunny Again Tomorrow,7.7
Bad Guy,7.7
"Bravo, My Life",7.7
Person Who Gives Happiness,7.7
The Promise,7.7
The Fabulous,7.7
Damo,7.7
Cheo Yong,7.7
Ballad of Seo Dong,7.7
Can I Step In?,7.6
Love & Wish,7.7
Resurrection,7.6
High Class,7.6
Queen of Ambition,7.6
Legal High,7.6
Heard it Through the Grapevine,7.6
Drinking Solo,7.6
Let Me Introduce Her,7.6
Dal Ja's Spring,7.6
IN-SEOUL,7.6
Color Rush,7.6
Flowers for My Life,7.6
Who Are You,7.6
God of War,7.6
Little Girl K,7.6
Fermentation Family,7.6
Top Management,7.6
Protect the Boss,7.6
My Romantic Some Recipe,7.6
Melting Me Softly,7.6
Real:Time:Love Season 3,7.6
Sisters-in-Law,7.6
The Spring Day of My Life,7.6
A Pledge to God,7.6
Pumpkin Time,7.6
Behind Every Star,7.6
Show Window: The Queen's House,7.6
Last Minute Romance,7.6
22 Flower Road,7.6
Surgeon Bong Dal Hee,7.6
Obstetrics and Gynecology Doctors,7.6
Love Rain,7.6
Pasta,7.6
Top Star Yoo Baek,7.6
My Husband Oh Jak Doo,7.6
Tempted,7.6
King Geun Cho Go,7.6
The Best Moment To Quit Your Job,7.6
Enemies from the Past,7.6
My Secret Romance,7.6
Crime Puzzle,7.6
My Only One,7.6
Gye Baek,7.6
Ex-Girlfriend Club,7.6
Moorim School,7.6
What's Your Blood Type?,7.6
Fantastic,7.6
Temptation of Wife,7.6
Prosecutor Princess,7.6
Golden Pouch,7.6
Eccentric! Chef Moon,7.6
Hi! School - Love On,7.6
Want More 19,7.6
Second Husband,7.6
That Fool,7.6
Beyond the Clouds,7.6
A Thousand Days' Promise,7.6
What's Up?,7.6
Youtuber Class,7.6
Discovery of Romance,7.6
All In,7.6
"Bad Thief, Good Thief",7.6
Love in Sadness,7.6
Reunited Worlds,7.6
Forecasting Love and Weather,7.6
Seonam Girls High School Investigators,7.6
The Undateables,7.6
Cleaning Up,7.6
Nightmare Teacher,7.6
Super Daddy Yeol,7.6
Convenience Store Fling,7.6
Capital Scandal,7.6
"Father, I’ll Take Care of You",7.6
"Meow, the Secret Boy",7.6
Liver or Die,7.6
All About Eve,7.6
Just One Bite: Pilot,7.6
Govengers,7.6
Splendid Politics,7.6
Flower Boy Next Door,7.6
"Remember, Hari",7.6
"Friend, Our Legend ",7.6
The Sound of Your Heart: Reboot Season 2,7.6
Make a Woman Cry,7.6
"Delightful Girl, Choon Hyang",7.6
Because It's the First Time,7.6
Swallow the Sun,7.6
Taste of Cat,7.6
Bad Family,7.6
"Breakup Probation, A Week",7.6
The Banker,7.6
"Noble, My Love",7.6
"Yeah, That's How It Is",7.6
Queen Insoo,7.6
All About My Romance,7.6
Thumping Spike 2,7.6
The Heirs,7.6
Boys Over Flowers,7.6
Not a Robot,7.6
Radio Romance,7.6
Assembly,7.6
Pride and Prejudice,7.6
"Don't Lie, Rahee",7.5
